2023-09-29 15:20:44,209 train.py:107	 INFO: ******************************
2023-09-29 15:20:44,209 train.py:108	 INFO: Start train: name model: vgg16, run times 2023-09-29
2023-09-29 15:20:57,629 train.py:149	 INFO: Epoch 1 train Loss: 0.6774 Acc: 0.5845
2023-09-29 15:20:58,760 train.py:149	 INFO: Epoch 1 val Loss: 0.5736 Acc: 0.7168
2023-09-29 15:21:19,818 train.py:149	 INFO: Epoch 2 train Loss: 0.5752 Acc: 0.7095
2023-09-29 15:21:20,935 train.py:149	 INFO: Epoch 2 val Loss: 0.5874 Acc: 0.7283
2023-09-29 15:21:41,210 train.py:149	 INFO: Epoch 3 train Loss: 0.5738 Acc: 0.7269
2023-09-29 15:21:43,815 train.py:149	 INFO: Epoch 3 val Loss: 0.5482 Acc: 0.7168
2023-09-29 15:22:05,681 train.py:149	 INFO: Epoch 4 train Loss: 0.5054 Acc: 0.7551
2023-09-29 15:22:07,964 train.py:149	 INFO: Epoch 4 val Loss: 0.5562 Acc: 0.7139
2023-09-29 15:23:01,587 train.py:149	 INFO: Epoch 5 train Loss: 0.4621 Acc: 0.7912
2023-09-29 15:23:02,720 train.py:149	 INFO: Epoch 5 val Loss: 0.5475 Acc: 0.7341
2023-09-29 15:23:23,141 train.py:149	 INFO: Epoch 6 train Loss: 0.3598 Acc: 0.8418
2023-09-29 15:23:24,272 train.py:149	 INFO: Epoch 6 val Loss: 0.4643 Acc: 0.7746
2023-09-29 15:23:44,775 train.py:149	 INFO: Epoch 7 train Loss: 0.3295 Acc: 0.8562
2023-09-29 15:23:45,973 train.py:149	 INFO: Epoch 7 val Loss: 0.4620 Acc: 0.7977
2023-09-29 15:24:09,356 train.py:149	 INFO: Epoch 8 train Loss: 0.3115 Acc: 0.8699
2023-09-29 15:24:13,054 train.py:149	 INFO: Epoch 8 val Loss: 0.4613 Acc: 0.7919
2023-09-29 15:24:34,333 train.py:149	 INFO: Epoch 9 train Loss: 0.2857 Acc: 0.8786
2023-09-29 15:24:35,463 train.py:149	 INFO: Epoch 9 val Loss: 0.4824 Acc: 0.7890
2023-09-29 15:25:00,494 train.py:149	 INFO: Epoch 10 train Loss: 0.2592 Acc: 0.8931
2023-09-29 15:25:01,621 train.py:149	 INFO: Epoch 10 val Loss: 0.4628 Acc: 0.8035
2023-09-29 15:25:49,626 train.py:149	 INFO: Epoch 11 train Loss: 0.2384 Acc: 0.9046
2023-09-29 15:25:50,757 train.py:149	 INFO: Epoch 11 val Loss: 0.4694 Acc: 0.8064
2023-09-29 15:29:10,707 train.py:149	 INFO: Epoch 12 train Loss: 0.2263 Acc: 0.9140
2023-09-29 15:29:12,010 train.py:149	 INFO: Epoch 12 val Loss: 0.4754 Acc: 0.8064
2023-09-29 15:29:57,649 train.py:149	 INFO: Epoch 13 train Loss: 0.2269 Acc: 0.9169
2023-09-29 15:29:58,830 train.py:149	 INFO: Epoch 13 val Loss: 0.4779 Acc: 0.8064
2023-09-29 15:30:28,316 train.py:149	 INFO: Epoch 14 train Loss: 0.2187 Acc: 0.9169
2023-09-29 15:30:29,477 train.py:149	 INFO: Epoch 14 val Loss: 0.4851 Acc: 0.8064
2023-09-29 15:30:51,979 train.py:149	 INFO: Epoch 15 train Loss: 0.2207 Acc: 0.9118
2023-09-29 15:30:53,161 train.py:149	 INFO: Epoch 15 val Loss: 0.4826 Acc: 0.8006
2023-09-29 15:31:15,922 train.py:149	 INFO: Epoch 16 train Loss: 0.2125 Acc: 0.9155
2023-09-29 15:31:17,393 train.py:149	 INFO: Epoch 16 val Loss: 0.4835 Acc: 0.8006
